총괄표제부_PK,대장구분코드,시군구코드,법정동코드,번,지,건물명,대지위치,도로명대지위치,주용도코드,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,호수(호),총주차수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,연면적(㎡),대지면적(㎡),건축면적(㎡),용적률산정연면적(㎡),건폐율(%),용적률(%),사용승인일,생성일자
10251100228074,1,11710,11100,0089,0007,오륜중학교,서울특별시 송파구 방이동 89-7번지,서울특별시 송파구 양재대로 1242 (방이동),10000,교육연구시설(학교),0,0,2,3,0,48,117102000006,11102,0,01242,00000,10154.91,11177.5,3207.08,9957.11,28.69,89.08,,20220813
10251434,1,11710,11100,0089,0016,서울오륜초등학교,서울특별시 송파구 방이동 89-16번지,서울특별시 송파구 양재대로 1196 (방이동),10000,교육연구시설,0,0,2,3,0,0,117102000006,11102,0,01196,00000,7332.84,14874.2,2761.99,7015.94,18.07,46.67,,20250723
10251600,1,11710,11100,0089,0022,보성고등학교,서울특별시 송파구 방이동 89-22번지,서울특별시 송파구 양재대로 1278 (방이동),10000,교육연구시설,0,0,3,6,0,111,117102000006,11102,0,01278,00000,26981.49,33032.1,8079.62,26307.19,24.45,79.64,,20220813
10251601,1,11710,11100,0089,0023,세륜초등학교,서울특별시 송파구 방이동 89-23번지,서울특별시 송파구 양재대로 1264 (방이동),10000,교육연구시설,0,0,4,0,0,35,117102000006,11102,0,01264,00000,8614.04,15082.1,2673.92,8309.24,17.73,55.09,,20220813
10251112,1,11710,11100,0109,0006,,서울특별시 송파구 방이동 109-6번지,서울특별시 송파구 오금로 143 (방이동),19000,위험물저장및처리시설| 근린생활시설| 자동차관련시설,0,0,2,0,0,5,117103123014,11104,0,00143,00000,1017.17,1109.5,591.97,917.25,53.35,82.67,,20220813
10251603,1,11710,11100,0110,0012,,서울특별시 송파구 방이동 110-12번지,서울특별시 송파구 오금로19길 5 (방이동),04000,근린생활시설,0,0,2,0,0,12,117104169380,11101,0,00005,00000,428.81,948,0,0,38.62,40.86,,20220813
10251100239586,2,11710,11100,0123,0002,덕산빌라,서울특별시 송파구 방이동 123-2번지,,02000,다세대주택(단지형다세대),16,0,2,0,0,13,,,0,00000,00000,1060.67,517.2,309.706,1060.37,59.88,205.02,20111220,20220813
10251435,1,11710,11100,0124,0006,수동교회,서울특별시 송파구 방이동 124-6번지,서울특별시 송파구 가락로33길 3 (방이동),06000,종교시설외 1,0,0,2,0,0,122,117104169015,11101,0,00003,00000,6060.98,2759.2,1376.71,4395.5,49.9,159.3,,20220813
10251156,2,11710,11100,0127,0022,서경그린빌라,서울특별시 송파구 방이동 127-22번지,서울특별시 송파구 가락로34길 5-8 (방이동),02000,공동주택(다세대주택),14,0,2,0,0,14,117104169016,11101,0,00005,00008,1012.22,468.7,280.8,1012.22,59.91,215.96,20040112,20220813
10251604,1,11710,11100,0128,0000,한전재경독신자합숙소,서울특별시 송파구 방이동 128번지,서울특별시 송파구 오금로27길 29 (방이동),02000,기숙사,0,60,3,0,0,99,117104169387,11101,0,00029,00000,17987.5,9270.1,3976.28,11943.28,42.89,128.83,,20220813
10251100173815,1,11710,11100,0136,0003,,서울특별시 송파구 방이동 136-3번지,서울특별시 송파구 가락로 249 (방이동),20000,,0,0,2,0,0,5,117103123001,11103,0,00249,00000,442.65,845.9,351.84,422.68,41.59,49.97,,20220813
10251100522482,2,11710,11100,0136,0011,로얄펠리스,서울특별시 송파구 방이동 136-11번지,,02000,도시형생활주택,16,0,2,0,0,13,,,0,00000,00000,839.72,421.2,244.2,839.72,57.98,199.36,20181120,20220813
10251100531442,2,11710,11100,0137,0011,라센트빌,서울특별시 송파구 방이동 137-11번지,서울특별시 송파구 위례성대로8길 41 (방이동),02000,도시형생활주택(단지형다세대주택),16,0,2,0,0,13,117104169459,11101,0,00041,00000,830.34,416.6,244.84,830.38,58.77,199.31,20191226,20220813
1000000000000002522149,2,11710,11100,0138,0002,엘림하우스,서울특별시 송파구 방이동 138-2번지,서울특별시 송파구 가락로 261 (방이동),02000,도시형생활주택(단지형다세대주택),42,0,4,0,0,34,117103123001,11103,0,00261,00000,2389.38,1196.7,712.42,2389.38,59.53,199.66,20231024,20231025
10251113,1,11710,11100,0139,0000,,서울특별시 송파구 방이동 139번지,서울특별시 송파구 가락로39길 11 (방이동),11000,교육연구및복지시설,0,0,2,0,0,0,117104169020,11101,0,00011,00000,221.07,0,0,0,0,0,,20220813
10251245,1,11710,11100,0141,0006,,서울특별시 송파구 방이동 141-6번지,서울특별시 송파구 백제고분로48길 31 (방이동),03000,근린생활시설,0,0,2,0,0,9,117104169200,11101,0,00031,00000,1239.05,0,0,962.08,0,0,,20230502
10251100517945,2,11710,11100,0145,0009,그랑시아,서울특별시 송파구 방이동 145-9번지,서울특별시 송파구 오금로21길 30 (방이동),,,22,0,0,0,0,0,117104169382,11101,0,00030,00000,0,487.6,0,0,24.91,90.42,20180530,20220813
10251117,2,11710,11100,0154,0009,,서울특별시 송파구 방이동 154-9번지,서울특별시 송파구 위례성대로6길 24-20 (방이동),02000,공동주택,9,0,2,0,0,0,117104169458,11101,0,00024,00020,396.6,0,0,0,0,0,,20220813
10251606,2,11710,11100,0157,0000,방이금호어울림,서울특별시 송파구 방이동 157번지,서울특별시 송파구 위례성대로8길 28 (방이동),02000,공동주택(아파트),144,0,2,3,0,156,117104169459,11101,0,00028,00000,20305.63,4773.08,1524.21,13561.27,31.93,284.12,,20220813
10251100525814,2,11710,11100,0158,0002,트윈스파크,서울특별시 송파구 방이동 158-2번지,,02000,도시형생활주택,20,0,2,0,0,16,,,0,00000,00000,1209.64,606,305.02,1209.64,50.33,199.61,20190315,20220813
1000000000000000085011,2,11710,11100,0160,0001,파크사이드빌,서울특별시 송파구 방이동 160-1번지,,02000,다세대주택,23,0,2,0,0,15,,,,00000,00000,1112.14,519.9,302.68,1038.44,58.22,199.74,20220907,20220908
10251538,2,11710,11100,0166,0014,,서울특별시 송파구 방이동 166-14번지,서울특별시 송파구 가락로42길 15-25 (방이동),02000,공동주택,18,0,3,0,0,0,117104169023,11101,0,00015,00025,720.72,0,0,0,0,0,,20220813
10251232,1,11710,11100,0167,0000,방이초등학교,서울특별시 송파구 방이동 167번지,서울특별시 송파구 위례성대로10길 4 (방이동),10000,교육연구및복지시설,0,0,3,2,0,0,117104169447,11101,0,00004,00000,9615.58,17017,3157.77,9615.58,18.56,56.51,,20220813
10251100520421,2,11710,11100,0168,0015,,서울특별시 송파구 방이동 168-15번지,서울특별시 송파구 백제고분로50길 41-8 (방이동),02000,도시형생활주택,18,0,2,0,0,14,117104169202,11101,0,00041,00008,1000.6,500.5,299.17,1000.6,59.77,199.92,20180816,20220813
10251100531202,2,11710,11100,0169,0015,한성백제아파트,서울특별시 송파구 방이동 169-15번지,서울특별시 송파구 백제고분로50길 41-27 (방이동),02000,도시형생활주택(단지형다세대주택),20,0,2,0,0,16,117104169202,11101,0,00041,00027,1313.74,669.6,347.72,1313.74,51.93,196.2,20191212,20220813
10251118,2,11710,11100,0171,0000,,서울특별시 송파구 방이동 171번지,서울특별시 송파구 위례성대로 58 (방이동),02000,공동주택,140,0,3,1,0,0,117102123002,11101,0,00058,00000,34758.9,0,0,0,0,0,,20220813
10251100494843,2,11710,11100,0172,0000,라온펠리체,서울특별시 송파구 방이동 172번지,,02000,도시형생활주택(단지형다세대),20,0,2,0,0,16,,,0,00000,00000,1119.8,560.1,305.6,1119.8,54.56,199.93,20170103,20220813
10251540,2,11710,11100,0172,0011,,서울특별시 송파구 방이동 172-11번지,서울특별시 송파구 오금로23길 65 (방이동),02000,공동주택,12,0,2,0,0,0,117104169384,11101,0,00065,00000,534.04,0,0,0,0,0,,20220813
10251106,2,11710,11100,0173,0003,,서울특별시 송파구 방이동 173-3번지,서울특별시 송파구 위례성대로6길 11 (방이동),02000,공동주택,18,0,2,0,0,0,117104169458,11101,0,00011,00000,655.56,0,0,0,0,0,,20220813
10251541,2,11710,11100,0174,0016,,서울특별시 송파구 방이동 174-16번지,서울특별시 송파구 위례성대로6길 8 (방이동),02000,공동주택,18,0,3,0,0,0,117104169458,11101,0,00008,00000,979.38,0,0,0,0,0,,20220813
10251607,2,11710,11100,0175,0008,,서울특별시 송파구 방이동 175-8번지,서울특별시 송파구 백제고분로50길 19-5 (방이동),02000,공동주택,18,0,3,0,0,0,117104169202,11101,0,00019,00005,985.5,0,0,0,0,0,,20220813
10251608,2,11710,11100,0179,0015,,서울특별시 송파구 방이동 179-15번지,서울특별시 송파구 위례성대로4길 8 (방이동),02000,다세대주택,15,0,2,0,0,0,117104169457,11101,0,00008,00000,658.74,0,0,0,0,0,,20220813
10251100499543,1,11710,11100,0183,0000,보원빌딩,서울특별시 송파구 방이동 183번지,,04000,근린생활시설| 자동차관련시설| 업무시설,0,0,2,0,0,0,,,0,00000,00000,4049.74,1132.4,565.81,2374.28,49.97,209.67,,20220813
10251100462339,2,11710,11100,0187,0012,,서울특별시 송파구 방이동 187-12번지,,02000,공동주택(도시형생활주택 단지형다세대주택),16,0,2,0,0,13,,,0,00000,00000,919.7,499.2,274.7,919.7,55.03,184.23,20140715,20220813
10251609,2,11710,11100,0194,0000,,서울특별시 송파구 방이동 194번지,서울특별시 송파구 위례성대로14길 10 (방이동),02000,연립주택,18,0,3,0,0,0,117104169449,11101,0,00010,00000,3478.43,0,0,0,0,0,,20220813
10251362,2,11710,11100,0194,0005,,서울특별시 송파구 방이동 194-5번지,서울특별시 송파구 위례성대로14길 18 (방이동),02000,,12,0,2,0,0,0,117104169449,11101,0,00018,00000,3120.74,0,0,0,0,0,,20220813
10251218,2,11710,11100,0197,0000,신구블레스밸리아파트,서울특별시 송파구 방이동 197번지,서울특별시 송파구 위례성대로12길 25 (방이동),02000,공동주택(아파트),104,0,2,3,0,204,117104169448,11101,0,00025,00000,22565.47,7982.2,1811.84,15948.8,22.69,199.8,20040522,20220813
10251100499486,2,11710,11100,0198,0013,방이빌라,서울특별시 송파구 방이동 198-13번지,,02000,도시형생활주택(단지형다세대),20,0,2,0,0,16,,,0,00000,00000,1295.02,607.3,304.86,1214.33,50.2,199.96,20170403,20220813
10251422,1,11710,11100,0205,0000,,서울특별시 송파구 방이동 205번지,서울특별시 송파구 양재대로71길 5 (방이동),04000,근린생활시설,0,0,2,0,0,7,117104169372,11101,0,00005,00000,1080.63,1370.2,631.06,1032.42,46.05,75.34,,20220813
10251100494014,2,11710,11100,0210,0001,보람파크빌리지,서울특별시 송파구 방이동 210-1번지,,,도시형생활주택(단지형다세대) 및 근린생활시설,112,0,12,0,7,0,,,0,00000,00000,9796.92,3768.5,1945.55,7514.56,51.63,199.4,20161216,20220813
10251610,2,11710,11100,0212,0008,코오롱아파트 상가A동|B동,서울특별시 송파구 방이동 212-8번지,서울특별시 송파구 오금로31길 27 (방이동),02000,근린생활시설,758,0,9,0,0,0,117104169390,11101,0,00027,00000,86235.41,0,0,0,0,0,,20220813
10251119,2,11710,11100,0217,0000,,서울특별시 송파구 방이동 217번지,서울특별시 송파구 양재대로 1109 (방이동),02000,공동주택,497,0,7,0,0,0,117102000006,11102,0,01109,00000,67912.225,0,0,0,0,0,,20250306
10251100451837,1,11710,11100,0220,0000,방산중학교,서울특별시 송파구 방이동 220번지,,10000,교육연구시설,0,0,2,4,0,18,,,0,00000,00000,9796.48,10640,3059.06,9746.98,28.75,91.6,,20220813
10251100230748,1,11710,11100,0220,0004,방산초등학교,서울특별시 송파구 방이동 220-4번지,서울특별시 송파구 오금로27길 42 (방이동),,,0,0,2,1,0,0,117104169387,11101,0,00042,00000,7960.47,9876.5,2527.58,7871.67,25.59,79.7,,20220813
1025141,1,11710,11100,0223,0012,,서울특별시 송파구 방이동 223-12번지,서울특별시 송파구 오금로31길 13 (방이동),04000,제1종근린생활시설,0,4,5,0,0,0,117104169390,11101,0,00013,00000,860.61,0,0,0,0,0,,20220813
10251542,2,11710,11100,0225,0000,,서울특별시 송파구 방이동 225번지,서울특별시 송파구 양재대로 1089 (방이동),02000,공동주택,273,0,0,0,0,0,117102000006,11102,0,01089,00000,30654.741,0,0,0,0,0,,20220813
10251543,2,11710,11100,0227,0001,인택스파크텔|인택스파크빌,서울특별시 송파구 방이동 227-1번지,서울특별시 송파구 오금로 231 (방이동),14000,공동주택,8,0,2,0,0,19,117103123014,11104,0,00231,00000,2237.41,648.4,388.42,1740.86,59.9,268.47,,20220813
1000000000000006492877,1,11710,11100,0437,0004,,서울특별시 송파구 방이동 437-4번지,서울특별시 송파구 동남로 434 (방이동),03000,제1종근린생활시설(전기자동차충전소),0,0,2,0,0,1,117103000034,11103,0,00434,00000,232.18,1396,232.18,232.18,16.6318,16.6318,20250911,20250918
10251109,2,11710,11200,0002,0000,,서울특별시 송파구 오금동 2번지,서울특별시 송파구 위례성대로 176 (오금동),02000,공동주택,480,0,6,0,0,0,117102123002,11202,0,00176,00000,62190.1,0,0,0,0,0,,20220813
10251544,1,11710,11200,0003,0001,,서울특별시 송파구 오금동 3-1번지,서울특별시 송파구 위례성대로 180 (오금동),14000,업무시설|근린생활시설|교육연구시설|판매시설,0,0,2,0,0,25,117102123002,11202,0,00180,00000,5110.38,996.8,494.1,3507.3,49.56,351.85,,20221024
102514,1,11710,11200,0007,0000,서울오금초등학교,서울특별시 송파구 오금동 7번지,서울특별시 송파구 위례성대로22길 11 (오금동),10000,교육연구및복지시설,0,0,3,1,0,46,117104169454,11201,0,00011,00000,9064.34,9221.6,2552.27,9014.84,27.67,97.76,19960628,20220813
10251100231698,1,11710,11200,0007,0003,서울세륜중학교,서울특별시 송파구 오금동 7-3번지,서울특별시 송파구 양재대로72길 41 (오금동),10000,교육연구시설,0,0,2,3,0,0,117104169373,11201,0,00041,00000,9071.15,10004.8,2510.74,8843.2,25.1,88.39,,20220813
10251554,2,11710,11200,0008,0010,,서울특별시 송파구 오금동 8-10번지,서울특별시 송파구 위례성대로22나길 3-17 (오금동),02000,다세대주택,19,0,2,0,0,0,117104169455,11201,0,00003,00017,1270.4,531.9,254.08,0,47.76,191.07,,20220813
10251564,2,11710,11200,0011,0000,,서울특별시 송파구 오금동 11번지,서울특별시 송파구 양재대로72길 15 (오금동),02000,공동주택,438,0,4,0,0,0,117104169373,11201,0,00015,00000,37273.8901,0,0,0,0,0,,20220813
10251189,2,11710,11200,0019,0000,,서울특별시 송파구 오금동 19번지,서울특별시 송파구 마천로7길 6 (오금동),02000,공동주택,269,0,3,0,0,0,117104169130,11201,0,00006,00000,34292.5,0,0,0,0,0,,20220813
10251560,1,11710,11200,0025,0002,,서울특별시 송파구 오금동 25-2번지,서울특별시 송파구 마천로 95 (오금동),20000,자동차관련시설,0,0,3,0,0,5,117103123004,11202,0,00095,00000,959.43,0,0,0,0,0,,20241011
10251256,2,11710,11200,0029,0000,오금동쌍용스윗닷홈,서울특별시 송파구 오금동 29번지,서울특별시 송파구 양재대로72길 42 (오금동),02000,아파트,110,0,2,1,0,126,117104169373,11201,0,00042,00000,17743.87,4398,1299.81,11914.21,29.55,270.9,20050913,20220813
10251243,1,11710,11200,0030,0000,,서울특별시 송파구 오금동 30번지,서울특별시 송파구 중대로 301 (오금동),03000,제1종근린생활시설 외1,0,1,2,0,0,4,117103123016,11203,0,00301,00000,514.61,602.5,300.76,425.23,49.92,70.58,,20220813
10251100483363,2,11710,11200,0032,0000,중앙클래식하우스,서울특별시 송파구 오금동 32번지,,02000,업무시설(오피스텔)및도시형생활주택,28,0,3,0,14,33,,,0,00000,00000,2328.64,931.6,462.58,2328.63,49.65,249.96,20160819,20220813
10251241,1,11710,11200,0034,0000,오금중학교,서울특별시 송파구 오금동 34번지,서울특별시 송파구 오금로35길 20 (오금동),10000,교육연구및복지시설,0,0,3,4,0,0,117104169393,11201,0,00020,00000,10688.13,16622.2,3715.46,10604.88,22.35,63.8,,20220813
102519,1,11710,11200,0034,0003,오금고등학교,서울특별시 송파구 오금동 34-3번지,서울특별시 송파구 중대로 247 (오금동),10000,교육연구시설,0,0,3,3,0,66,117103123016,11203,0,00247,00000,12996.45,17824.9,3690.73,12292.75,20.55,68.81,,20250805
10251100483743,2,11710,11200,0039,0005,,서울특별시 송파구 오금동 39-5번지,,02000,도시형생활주택(단지형다세대) 및 근린생활시설,20,0,3,0,0,17,,,0,00000,00000,1612.2,652.6,376.46,1284.74,57.68,196.86,20160831,20220813
10251565,2,11710,11200,0043,0000,,서울특별시 송파구 오금동 43번지,서울특별시 송파구 오금로35길 17 (오금동),02000,공동주택,1316,0,24,0,83,0,117104169393,11201,0,00017,00000,0,0,0,0,0,0,,20220813
