관리건축물대장PK,관리상위건축물대장PK,대장구분코드,시군구코드,법정동코드,번,지,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,생성일자
10251100184213,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250704
10251100184782,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250221
10251100184887,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20251027
10251100185220,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20251016
10251100185524,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250805
10251100185822,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20231023
10251100185932,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250902
10251100186023,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20241127
10251100186128,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20251125
10251100186399,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20221006
10251100186696,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250930
10251100186796,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250619
10251100186914,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186917,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186919,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186921,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186923,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186929,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186930,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186931,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186933,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186934,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186937,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186938,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186940,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186975,,1,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100181879,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20241219
10251100183355,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250623
10251100186928,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100183596,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186925,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
1025112108,10251100180867,1,11710,10100,0022,0001,117103123015,10101,0,00012,00000,20220813
1025112113,10251100180867,1,11710,10100,0022,0001,117103123015,10101,0,00012,00000,20220813
10251100180866,10251100180867,1,11710,10100,0022,0001,117103123015,10101,0,00012,00000,20220813
10251100228193,10251100180867,1,11710,10100,0022,0001,117103123015,10101,0,00012,00000,20220813
102512208,10251416,1,11710,10100,0022,0002,117103123015,10101,0,00024,00000,20250717
102512206,10251416,1,11710,10100,0022,0002,117103123015,10101,0,00024,00000,20250717
102512207,10251416,1,11710,10100,0022,0002,117103123015,10101,0,00024,00000,20250717
102518320,,1,11710,10100,0022,0003,117103123015,10101,0,00026,00000,20220813
10251100180856,,1,11710,10100,0022,0004,117103123015,10101,0,00032,00000,20220813
1025116513,,1,11710,10100,0022,0004,117103123015,10101,0,00032,00000,20220813
10251100226203,,2,11710,10100,0022,0006,117103123023,10101,0,00145,00000,20251023
1025124295,,1,11710,10100,0024,0000,000000000000,00000,0,00000,00000,20220813
102511789,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511816,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511796,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511800,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511799,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511797,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511804,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511812,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511805,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511801,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511809,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511787,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511814,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511788,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511790,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511791,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511793,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511795,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511798,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511802,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511803,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511806,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511807,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511808,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511810,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511811,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20230208
102511813,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20230209
102511815,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511792,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511794,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102511817,10251300,2,11710,10100,0027,0000,117102005011,10101,0,00567,00000,20220813
102518265,,2,11710,10100,0027,0001,117102005011,10101,0,00567,00000,20220813
1025124875,,2,11710,10100,0027,0002,117103123015,10101,0,00015,00000,20220813
102511884,10251316,1,11710,10100,0027,0004,117103123015,10101,0,00051,00031,20220813
102511078,10251122,1,11710,10100,0027,0005,117103123023,10101,0,00215,00000,20220813
102511077,10251122,1,11710,10100,0027,0005,117103123023,10101,0,00215,00000,20220813
1025116803,,2,11710,10100,0027,0006,117103123023,10101,0,00203,00000,20250723
102519083,,2,11710,10100,0027,0008,117102005011,10101,0,00567,00000,20220813
1025118778,,2,11710,10100,0027,0009,117102005011,10101,0,00567,00000,20220813
1025114642,,1,11710,10100,0027,0010,000000000000,00000,0,00000,00000,20220813
1025116221,,1,11710,10100,0027,0011,117103123023,10101,0,00211,00000,20220813
1025112926,,1,11710,10100,0027,0012,117103123015,10101,0,00051,00033,20220813
102512370,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250414
102512386,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512360,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512364,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512373,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250703
102512385,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512366,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20240927
102512391,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512392,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512368,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250515
102512403,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250110
102512367,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250929
102512369,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20240925
102512351,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250320
102512352,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250429
102512402,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250220
102512365,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512375,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512379,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20240625
102512387,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512389,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512397,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20240621
102512372,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250402
102512393,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512394,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250604
102512350,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512353,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250718
102512354,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20251024
102512355,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20251022
102512356,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512357,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20231027
102512358,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20240222
102512359,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20230517
102512361,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250902
102512362,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20221223
102512363,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512371,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250212
102512374,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20251001
102512376,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512377,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250206
102512380,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512381,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512384,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250923
102512388,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512390,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20220813
102512395,10251440,2,11710,10100,0035,0000,117103123015,10101,0,00062,00000,20250623
