RDADDRCD,ARCODE,ARNAME_1,ARNAME_2,ARNAME_3,ARNAME_4,LAND_AT,JIBUNB,JIBUNJ,RDCODE,UNDER_AT,BD_MAIN_BUN,BD_SUB_BUN,JIBUNSEQ,MV_RESN_CD
116804166403000035000000000001275,1168010400,서울특별시,강남구,청담동,,0,0059,0024,116804166403,0,00035,00000,0000001275,
116804166403000035000000000001276,1168010400,서울특별시,강남구,청담동,,0,0059,0025,116804166403,0,00035,00000,0000001276,
116804166403000035000000000001277,1168010400,서울특별시,강남구,청담동,,0,0059,0028,116804166403,0,00035,00000,0000001277,
116804166403000035000000000001278,1168010400,서울특별시,강남구,청담동,,0,0059,0029,116804166403,0,00035,00000,0000001278,
116804166407000008000000000001288,1168010400,서울특별시,강남구,청담동,,0,0062,0002,116804166407,0,00008,00000,0000001288,
116804166408000065000000000001211,1168010400,서울특별시,강남구,청담동,,0,0026,0001,116804166408,0,00065,00000,0000001211,
116804166408000065000000000001212,1168010400,서울특별시,강남구,청담동,,0,0026,0002,116804166408,0,00065,00000,0000001212,
116804166408000065000000000001213,1168010400,서울특별시,강남구,청담동,,0,0026,0004,116804166408,0,00065,00000,0000001213,
116804166408000065000000000001214,1168010400,서울특별시,강남구,청담동,,0,0026,0003,116804166408,0,00065,00000,0000001214,
116804166409000004000000000013032,1168010400,서울특별시,강남구,청담동,,0,0049,0015,116804166409,0,00004,00000,0000013032,
116804166409000004000000000013033,1168010400,서울특별시,강남구,청담동,,0,0049,0016,116804166409,0,00004,00000,0000013033,
116804166409000004000000000013034,1168010400,서울특별시,강남구,청담동,,0,0049,0019,116804166409,0,00004,00000,0000013034,
116804166410000021000000000012912,1168010400,서울특별시,강남구,청담동,,0,0012,0001,116804166410,0,00021,00000,0000012912,
116804166410000021000000000012913,1168010400,서울특별시,강남구,청담동,,0,0012,0002,116804166410,0,00021,00000,0000012913,
116804166410000026000000000006757,1168010400,서울특별시,강남구,청담동,,0,0005,0005,116804166410,0,00026,00000,0000006757,
116804166410000026000000000006758,1168010400,서울특별시,강남구,청담동,,0,0005,0006,116804166410,0,00026,00000,0000006758,
116804166413000010000130000002445,1168010600,서울특별시,강남구,대치동,,0,1017,0004,116804166413,0,00010,00013,0000002445,
116804166413000035000000000013138,1168010600,서울특별시,강남구,대치동,,0,1028,0000,116804166413,0,00035,00000,0000013138,
116804166413000037000000000013137,1168010600,서울특별시,강남구,대치동,,0,1028,0000,116804166413,0,00037,00000,0000013137,
116804166414000036000000000002494,1168010600,서울특별시,강남구,대치동,,0,1023,0010,116804166414,0,00036,00000,0000002494,
116804166415000035000000000002272,1168010600,서울특별시,강남구,대치동,,0,0991,0007,116804166415,0,00035,00000,0000002272,
116804166415000039000000000002273,1168010600,서울특별시,강남구,대치동,,0,0991,0011,116804166415,0,00039,00000,0000002273,
116804166416000011000020000002186,1168010600,서울특별시,강남구,대치동,,0,0941,0029,116804166416,0,00011,00002,0000002186,
116804166416000011000020000002187,1168010600,서울특별시,강남구,대치동,,0,0941,0030,116804166416,0,00011,00002,0000002187,
116804166416000050000000000002155,1168010600,서울특별시,강남구,대치동,,0,0934,0021,116804166416,0,00050,00000,0000002155,
116804166418000015000030000014232,1168010600,서울특별시,강남구,대치동,,0,0932,0013,116804166418,0,00015,00003,0000014232,
116804166418000016000050000002153,1168010600,서울특별시,강남구,대치동,,0,0929,0009,116804166418,0,00016,00005,0000002153,
116804166418000046000000000002152,1168010600,서울특별시,강남구,대치동,,0,0926,0038,116804166418,0,00046,00000,0000002152,
116804166418000052000000000009261,1168010600,서울특별시,강남구,대치동,,0,0925,0016,116804166418,0,00052,00000,0000009261,
116804166419000032000000000002262,1168010600,서울특별시,강남구,대치동,,0,0987,0004,116804166419,0,00032,00000,0000002262,
116804166424000026000000000002142,1168010600,서울특별시,강남구,대치동,,0,0911,0010,116804166424,0,00026,00000,0000002142,
116804166430000006000000000002225,1168010600,서울특별시,강남구,대치동,,0,0957,0016,116804166430,0,00006,00000,0000002225,
116804166431000025000000000005340,1168010600,서울특별시,강남구,대치동,,0,0894,0002,116804166431,0,00025,00000,0000005340,
116804166431000025000000000005341,1168010600,서울특별시,강남구,대치동,,0,0894,0006,116804166431,0,00025,00000,0000005341,
116804166431000025000000000005342,1168010600,서울특별시,강남구,대치동,,0,0894,0010,116804166431,0,00025,00000,0000005342,
116804166431000026000000000002108,1168010600,서울특별시,강남구,대치동,,0,0891,0055,116804166431,0,00026,00000,0000002108,
116804166431000035000060000009559,1168010600,서울특별시,강남구,대치동,,0,0895,0004,116804166431,0,00035,00006,0000009559,
116804166431000038000000000002102,1168010600,서울특별시,강남구,대치동,,0,0891,0029,116804166431,0,00038,00000,0000002102,
116804166431000039000000000002118,1168010600,서울특별시,강남구,대치동,,0,0895,0002,116804166431,0,00039,00000,0000002118,
116804166431000039000000000002119,1168010600,서울특별시,강남구,대치동,,0,0895,0003,116804166431,0,00039,00000,0000002119,
116804166431000039000000000002120,1168010600,서울특별시,강남구,대치동,,0,0895,0012,116804166431,0,00039,00000,0000002120,
116804166431000042000000000002101,1168010600,서울특별시,강남구,대치동,,0,0891,0027,116804166431,0,00042,00000,0000002101,
116804166435000006000000000005344,1168010500,서울특별시,강남구,삼성동,,0,0128,0022,116804166435,0,00006,00000,0000005344,
116804166436000015000000000001951,1168010500,서울특별시,강남구,삼성동,,0,0155,0015,116804166436,0,00015,00000,0000001951,
116804166436000015000000000001952,1168010500,서울특별시,강남구,삼성동,,0,0155,0014,116804166436,0,00015,00000,0000001952,
116804166438000001000000000013147,1168010500,서울특별시,강남구,삼성동,,0,0131,0000,116804166438,0,00001,00000,0000013147,
